1594,02AC,FFF0,BB68,FF2A,01A7,002C,0061,
1599,0380,FF44,C09C,FEA1,FFF3,0033,0061,
159E,02DC,FF68,BD6C,FE32,FEEA,01D7,0061,
15A3,03CC,FFCC,BDD4,FF97,009D,FFF0,0061,
15A8,0344,FF44,BE4C,FEA2,FEB7,0115,0061,
15AD,0248,FF10,BC5C,FE14,FFA3,0147,0061,
15B2,03B8,FF70,BEE8,FF0F,00F7,00D1,0061,
15B7,034C,0030,BDC4,FE2B,FE6F,00F1,0061,
15BC,0264,FE30,BDCC,FEF3,0048,FFDF,0061,
15C1,0364,0070,BE20,FE82,0017,0169,0061,
15C6,02C8,0040,BD30,FE79,FF20,0085,0061,
15CB,02EC,FEC4,BF94,FF3E,008D,006C,0061,
15D0,032C,0068,BE38,FE79,FDD6,01B9,0061,
15D5,01D8,FFAC,BC3C,FF7A,00F3,FF94,0061,
15DA,0378,FEB4,BF9C,FDF6,FF2F,014F,0061,
15DF,031C,FFCC,BCB0,FEAF,FFF9,010E,0061,
15E4,02D8,0140,C0B0,FFDC,FE29,00C6,0061,
15E9,0280,FD88,BC98,FF5F,FE2A,01A7,0061,
15EE,02D8,00C8,BD60,0011,0053,0098,0061,
15F3,02C4,FDDC,BD68,FDD2,FD52,0106,0061,
15F8,0310,FFC4,BE1C,FE66,008F,01DB,0061,
15FD,039C,009C,BDBC,FDE6,FA9B,0242,0061,
1602,01CC,FB50,B828,FA27,FBCB,0239,0061,
1607,0344,FFF4,C0C0,FE10,0478,0005,0061,
160C,0360,02E4,C1C4,FCD1,FA13,0239,0061,
1611,0020,FE24,B8A4,FDB6,FE14,012A,0061,
1616,0388,0274,C4D8,018A,02DD,000E,0061,
161B,0480,04D8,BDC0,0022,F8A4,02D0,0061,
1620,FFE0,FAF4,BA88,029F,FD9B,FCDE,0061,
1625,014C,FE70,BF0C,004B,0078,017A,0061,
162A,0204,00D8,BCEC,00E6,FE05,FF2E,0061,
162F,0164,FE20,BF94,FEF9,FDC4,00EB,0061,
1634,018C,FC74,BBB0,FAD8,FB5B,0302,0061,
1639,FED4,FD28,B384,F290,FC51,03DD,0061,
163E,00A8,FE10,BE28,F9EB,089B,FC10,0061,
1643,0200,0278,C324,F6FC,FFF1,007D,0061,
1648,0134,015C,BB74,F9BD,04AA,FE10,0061,
164D,0404,06E4,CB9C,FEDF,008C,FF09,0061,
1652,FF10,FED8,B930,F7EB,F2D8,0526,0061,
1657,FEA0,FE80,AFF8,FD62,0BA7,FF82,0061,
165C,0880,04B8,CBEC,FDB0,0570,000D,0061,
1661,0230,02B8,BA1C,F306,ED73,0798,0061,
1666,FEC4,FD14,B950,F944,01B9,0030,0061,
166B,0348,08C4,C890,F993,FD06,03F6,0061,
1670,01E8,01D4,BD34,F71E,F5CC,06F5,0061,
1675,013C,0C64,C97C,04F8,FA2C,00B2,0061,
167A,FC0C,FFFC,B998,F6BF,E6C8,0F0B,0061,
167F,FBF8,0738,B94C,0171,08E0,035B,0061,
1684,04A4,09C4,D26C,07B9,FDE4,0662,0061,
1689,00F8,04DC,C7D0,0283,E390,1071,0061,
168E,FA18,F618,AF8C,F81A,EC08,0E15,0061,
